Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
99	:	1648015218.849	   182.852	0	0	0	0	./lj Ar_T=110_density=1_seed#=8 Ar 110 1 500 2000 0.025 8 1000 F
100	:	1648015220.014	   182.707	0	0	0	0	./lj Ar_T=110_density=2_seed#=0 Ar 110 2 500 2000 0.025 0 1000 F
101	:	1648015220.518	   182.783	0	0	0	0	./lj Ar_T=110_density=2_seed#=1 Ar 110 2 500 2000 0.025 1 1000 F
104	:	1648015228.202	   176.786	0	0	0	0	./lj Ar_T=110_density=2_seed#=4 Ar 110 2 500 2000 0.025 4 1000 F
102	:	1648015221.223	   183.802	0	0	0	0	./lj Ar_T=110_density=2_seed#=2 Ar 110 2 500 2000 0.025 2 1000 F
103	:	1648015226.511	   180.946	0	0	0	0	./lj Ar_T=110_density=2_seed#=3 Ar 110 2 500 2000 0.025 3 1000 F
106	:	1648015230.932	   181.061	0	0	0	0	./lj Ar_T=110_density=2_seed#=6 Ar 110 2 500 2000 0.025 6 1000 F
105	:	1648015228.400	   183.597	0	0	0	0	./lj Ar_T=110_density=2_seed#=5 Ar 110 2 500 2000 0.025 5 1000 F
107	:	1648015232.120	   180.809	0	0	0	0	./lj Ar_T=110_density=2_seed#=7 Ar 110 2 500 2000 0.025 7 1000 F
109	:	1648015238.185	   179.161	0	0	0	0	./lj Ar_T=110_density=3_seed#=0 Ar 110 3 500 2000 0.025 0 1000 F
108	:	1648015237.596	   182.427	0	0	0	0	./lj Ar_T=110_density=2_seed#=8 Ar 110 2 500 2000 0.025 8 1000 F
110	:	1648015241.470	   179.055	0	0	0	0	./lj Ar_T=110_density=3_seed#=1 Ar 110 3 500 2000 0.025 1 1000 F
111	:	1648015248.674	   178.546	0	0	0	0	./lj Ar_T=110_density=3_seed#=2 Ar 110 3 500 2000 0.025 2 1000 F
112	:	1648015249.192	   178.833	0	0	0	0	./lj Ar_T=110_density=3_seed#=3 Ar 110 3 500 2000 0.025 3 1000 F
113	:	1648015389.863	   181.302	0	0	0	0	./lj Ar_T=110_density=3_seed#=4 Ar 110 3 500 2000 0.025 4 1000 F
114	:	1648015398.396	   181.111	0	0	0	0	./lj Ar_T=110_density=3_seed#=5 Ar 110 3 500 2000 0.025 5 1000 F
116	:	1648015402.726	   179.504	0	0	0	0	./lj Ar_T=110_density=3_seed#=7 Ar 110 3 500 2000 0.025 7 1000 F
115	:	1648015401.706	   183.602	0	0	0	0	./lj Ar_T=110_density=3_seed#=6 Ar 110 3 500 2000 0.025 6 1000 F
117	:	1648015403.305	   182.036	0	0	0	0	./lj Ar_T=110_density=3_seed#=8 Ar 110 3 500 2000 0.025 8 1000 F
120	:	1648015407.461	   178.707	0	0	0	0	./lj Ar_T=110_density=4_seed#=2 Ar 110 4 500 2000 0.025 2 1000 F
118	:	1648015404.992	   182.698	0	0	0	0	./lj Ar_T=110_density=4_seed#=0 Ar 110 4 500 2000 0.025 0 1000 F
119	:	1648015405.028	   182.740	0	0	0	0	./lj Ar_T=110_density=4_seed#=1 Ar 110 4 500 2000 0.025 1 1000 F
122	:	1648015412.001	   180.680	0	0	0	0	./lj Ar_T=110_density=4_seed#=4 Ar 110 4 500 2000 0.025 4 1000 F
121	:	1648015411.998	   180.845	0	0	0	0	./lj Ar_T=110_density=4_seed#=3 Ar 110 4 500 2000 0.025 3 1000 F
123	:	1648015412.934	   180.546	0	0	0	0	./lj Ar_T=110_density=4_seed#=5 Ar 110 4 500 2000 0.025 5 1000 F
125	:	1648015420.027	   178.950	0	0	0	0	./lj Ar_T=110_density=4_seed#=7 Ar 110 4 500 2000 0.025 7 1000 F
126	:	1648015420.529	   178.964	0	0	0	0	./lj Ar_T=110_density=4_seed#=8 Ar 110 4 500 2000 0.025 8 1000 F
124	:	1648015417.350	   182.472	0	0	0	0	./lj Ar_T=110_density=4_seed#=6 Ar 110 4 500 2000 0.025 6 1000 F
127	:	1648015427.224	   180.092	0	0	0	0	./lj Ar_T=110_density=5_seed#=0 Ar 110 5 500 2000 0.025 0 1000 F
128	:	1648015428.030	   180.121	0	0	0	0	./lj Ar_T=110_density=5_seed#=1 Ar 110 5 500 2000 0.025 1 1000 F
129	:	1648015571.171	   183.474	0	0	0	0	./lj Ar_T=110_density=5_seed#=2 Ar 110 5 500 2000 0.025 2 1000 F
130	:	1648015579.512	   180.651	0	0	0	0	./lj Ar_T=110_density=5_seed#=3 Ar 110 5 500 2000 0.025 3 1000 F
132	:	1648015585.313	   181.213	0	0	0	0	./lj Ar_T=110_density=5_seed#=5 Ar 110 5 500 2000 0.025 5 1000 F
131	:	1648015582.235	   185.844	0	0	0	0	./lj Ar_T=110_density=5_seed#=4 Ar 110 5 500 2000 0.025 4 1000 F
134	:	1648015586.173	   182.231	0	0	0	0	./lj Ar_T=110_density=5_seed#=7 Ar 110 5 500 2000 0.025 7 1000 F
133	:	1648015585.345	   183.257	0	0	0	0	./lj Ar_T=110_density=5_seed#=6 Ar 110 5 500 2000 0.025 6 1000 F
135	:	1648015587.695	   182.531	0	0	0	0	./lj Ar_T=110_density=5_seed#=8 Ar 110 5 500 2000 0.025 8 1000 F
136	:	1648015587.783	   185.831	0	0	0	0	./lj Ar_T=110_density=6_seed#=0 Ar 110 6 500 2000 0.025 0 1000 F
138	:	1648015592.847	   184.496	0	0	0	0	./lj Ar_T=110_density=6_seed#=2 Ar 110 6 500 2000 0.025 2 1000 F
137	:	1648015592.686	   185.866	0	0	0	0	./lj Ar_T=110_density=6_seed#=1 Ar 110 6 500 2000 0.025 1 1000 F
139	:	1648015593.484	   189.194	0	0	0	0	./lj Ar_T=110_density=6_seed#=3 Ar 110 6 500 2000 0.025 3 1000 F
142	:	1648015599.827	   183.875	0	0	0	0	./lj Ar_T=110_density=6_seed#=6 Ar 110 6 500 2000 0.025 6 1000 F
140	:	1648015598.981	   190.703	0	0	0	0	./lj Ar_T=110_density=6_seed#=4 Ar 110 6 500 2000 0.025 4 1000 F
141	:	1648015599.499	   191.263	0	0	0	0	./lj Ar_T=110_density=6_seed#=5 Ar 110 6 500 2000 0.025 5 1000 F
144	:	1648015608.155	   186.407	0	0	0	0	./lj Ar_T=110_density=6_seed#=8 Ar 110 6 500 2000 0.025 8 1000 F
143	:	1648015607.321	   189.004	0	0	0	0	./lj Ar_T=110_density=6_seed#=7 Ar 110 6 500 2000 0.025 7 1000 F
145	:	1648015754.651	   197.904	0	0	0	0	./lj Ar_T=110_density=7_seed#=0 Ar 110 7 500 2000 0.025 0 1000 F
146	:	1648015760.169	   197.817	0	0	0	0	./lj Ar_T=110_density=7_seed#=1 Ar 110 7 500 2000 0.025 1 1000 F
147	:	1648015766.531	   194.239	0	0	0	0	./lj Ar_T=110_density=7_seed#=2 Ar 110 7 500 2000 0.025 2 1000 F
148	:	1648015768.083	   192.707	0	0	0	0	./lj Ar_T=110_density=7_seed#=3 Ar 110 7 500 2000 0.025 3 1000 F
151	:	1648015770.231	   193.535	0	0	0	0	./lj Ar_T=110_density=7_seed#=6 Ar 110 7 500 2000 0.025 6 1000 F
152	:	1648015773.618	   190.352	0	0	0	0	./lj Ar_T=110_density=7_seed#=7 Ar 110 7 500 2000 0.025 7 1000 F
149	:	1648015768.409	   195.749	0	0	0	0	./lj Ar_T=110_density=7_seed#=4 Ar 110 7 500 2000 0.025 4 1000 F
150	:	1648015768.607	   197.690	0	0	0	0	./lj Ar_T=110_density=7_seed#=5 Ar 110 7 500 2000 0.025 5 1000 F
153	:	1648015777.347	   194.671	0	0	0	0	./lj Ar_T=110_density=7_seed#=8 Ar 110 7 500 2000 0.025 8 1000 F
154	:	1648015778.557	   206.273	0	0	0	0	./lj Ar_T=110_density=8_seed#=0 Ar 110 8 500 2000 0.025 0 1000 F
156	:	1648015783.706	   203.362	0	0	0	0	./lj Ar_T=110_density=8_seed#=2 Ar 110 8 500 2000 0.025 2 1000 F
155	:	1648015782.683	   206.305	0	0	0	0	./lj Ar_T=110_density=8_seed#=1 Ar 110 8 500 2000 0.025 1 1000 F
157	:	1648015789.690	   199.473	0	0	0	0	./lj Ar_T=110_density=8_seed#=3 Ar 110 8 500 2000 0.025 3 1000 F
159	:	1648015794.566	   198.138	0	0	0	0	./lj Ar_T=110_density=8_seed#=5 Ar 110 8 500 2000 0.025 5 1000 F
158	:	1648015790.767	   205.286	0	0	0	0	./lj Ar_T=110_density=8_seed#=4 Ar 110 8 500 2000 0.025 4 1000 F
160	:	1648015796.330	   200.606	0	0	0	0	./lj Ar_T=110_density=8_seed#=6 Ar 110 8 500 2000 0.025 6 1000 F
161	:	1648015952.560	   202.759	0	0	0	0	./lj Ar_T=110_density=8_seed#=7 Ar 110 8 500 2000 0.025 7 1000 F
162	:	1648015957.990	   207.384	0	0	0	0	./lj Ar_T=110_density=8_seed#=8 Ar 110 8 500 2000 0.025 8 1000 F
163	:	1648015960.774	   207.802	0	0	0	0	./lj Ar_T=110_density=9_seed#=0 Ar 110 9 500 2000 0.025 0 1000 F
164	:	1648015960.795	   207.817	0	0	0	0	./lj Ar_T=110_density=9_seed#=1 Ar 110 9 500 2000 0.025 1 1000 F
165	:	1648015963.771	   205.221	0	0	0	0	./lj Ar_T=110_density=9_seed#=2 Ar 110 9 500 2000 0.025 2 1000 F
166	:	1648015963.975	   205.340	0	0	0	0	./lj Ar_T=110_density=9_seed#=3 Ar 110 9 500 2000 0.025 3 1000 F
169	:	1648015972.023	   198.342	0	0	0	0	./lj Ar_T=110_density=9_seed#=6 Ar 110 9 500 2000 0.025 6 1000 F
167	:	1648015964.162	   209.008	0	0	0	0	./lj Ar_T=110_density=9_seed#=4 Ar 110 9 500 2000 0.025 4 1000 F
168	:	1648015966.302	   207.007	0	0	0	0	./lj Ar_T=110_density=9_seed#=5 Ar 110 9 500 2000 0.025 5 1000 F
170	:	1648015984.834	   205.218	0	0	0	0	./lj Ar_T=110_density=9_seed#=7 Ar 110 9 500 2000 0.025 7 1000 F
171	:	1648015987.073	   209.500	0	0	0	0	./lj Ar_T=110_density=9_seed#=8 Ar 110 9 500 2000 0.025 8 1000 F
173	:	1648015989.167	   210.724	0	0	0	0	./lj Ar_T=110_density=10_seed#=1 Ar 110 10 500 2000 0.025 1 1000 F
172	:	1648015988.993	   211.141	0	0	0	0	./lj Ar_T=110_density=10_seed#=0 Ar 110 10 500 2000 0.025 0 1000 F
175	:	1648015996.057	   205.993	0	0	0	0	./lj Ar_T=110_density=10_seed#=3 Ar 110 10 500 2000 0.025 3 1000 F
174	:	1648015992.711	   212.098	0	0	0	0	./lj Ar_T=110_density=10_seed#=2 Ar 110 10 500 2000 0.025 2 1000 F
176	:	1648015996.941	   212.878	0	0	0	0	./lj Ar_T=110_density=10_seed#=4 Ar 110 10 500 2000 0.025 4 1000 F
